Unnamed: 0,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,relationships.league.data.id,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.hr_20,attributes.today,attributes.discount_percentage,relationships.duration.data.type,relationships.duration.data.id
338,projection,2745032,,2024-07-10T18:51:00-04:00,,The Renaissance Club RD 4,,,cfbdcff8-02c5-43b7-97c5-058f059bda0a,False,4.5,standard,Single Stat,14,True,2024-07-14T10:18:00-04:00,Birdies Or Better,1,pre_game,,2024-07-13T22:15:24-04:00,,league,new_player,64802,projection_type,2,stat_type,32,True,,,,
1165,projection,2745473,,2024-07-10T18:51:00-04:00,,Champions at Keene Trace RD 4,,,cf255b74-d204-4b16-bb03-bf0900c4e9e6,False,68.0,standard,Single Stat,111,True,2024-07-14T12:10:00-04:00,Strokes,1,pre_game,,2024-07-13T23:23:23-04:00,,league,new_player,67686,projection_type,2,stat_type,82,True,,,,
404,projection,2745036,,2024-07-10T18:51:00-04:00,,The Renaissance Club RD 4,,,cfbdcff8-02c5-43b7-97c5-058f059bda0a,False,4.5,standard,Single Stat,18,True,2024-07-14T07:24:00-04:00,Birdies Or Better,1,pre_game,,2024-07-13T22:15:26-04:00,,league,new_player,64535,projection_type,2,stat_type,32,True,,,,
1167,projection,2745453,,2024-07-10T18:51:00-04:00,,Champions at Keene Trace RD 4,,,cf255b74-d204-4b16-bb03-bf0900c4e9e6,False,5.5,standard,Single Stat,111,True,2024-07-14T12:10:00-04:00,Birdies Or Better,1,pre_game,,2024-07-13T22:24:08-04:00,,league,new_player,67686,projection_type,2,stat_type,32,True,,,,
201,projection,2745052,,2024-07-10T18:51:00-04:00,,The Renaissance Club RD 4,,,cfbdcff8-02c5-43b7-97c5-058f059bda0a,False,67.0,standard,Single Stat,8,True,2024-07-14T05:14:00-04:00,Strokes,1,pre_game,,2024-07-13T20:30:57-04:00,,league,new_player,124235,projection_type,2,stat_type,82,True,True,,,
1169,projection,2745454,,2024-07-10T18:51:00-04:00,,Champions at Keene Trace RD 4,,,cf255b74-d204-4b16-bb03-bf0900c4e9e6,False,5.5,standard,Single Stat,112,True,2024-07-14T11:15:00-04:00,Birdies Or Better,1,pre_game,,2024-07-13T22:26:52-04:00,,league,new_player,94184,projection_type,2,stat_type,32,True,,,,
1170,projection,2745474,,2024-07-10T18:51:00-04:00,,Champions at Keene Trace RD 4,,,cf255b74-d204-4b16-bb03-bf0900c4e9e6,False,68.0,standard,Single Stat,112,True,2024-07-14T11:15:00-04:00,Strokes,1,pre_game,,2024-07-13T23:11:32-04:00,,league,new_player,94184,projection_type,2,stat_type,82,True,,,,
1171,projection,2745455,,2024-07-10T18:51:00-04:00,,Champions at Keene Trace RD 4,,,cf255b74-d204-4b16-bb03-bf0900c4e9e6,False,4.5,standard,Single Stat,113,True,2024-07-14T10:55:00-04:00,Birdies Or Better,1,pre_game,,2024-07-13T22:32:05-04:00,,league,new_player,78902,projection_type,2,stat_type,32,True,,,,
1172,projection,2745475,,2024-07-10T18:51:00-04:00,,Champions at Keene Trace RD 4,,,cf255b74-d204-4b16-bb03-bf0900c4e9e6,False,68.5,standard,Single Stat,113,True,2024-07-14T10:55:00-04:00,Strokes,1,pre_game,,2024-07-13T22:26:18-04:00,,league,new_player,78902,projection_type,2,stat_type,82,True,,,,
1175,projection,2745476,,2024-07-10T18:51:00-04:00,,Champions at Keene Trace RD 4,,,cf255b74-d204-4b16-bb03-bf0900c4e9e6,False,68.0,standard,Single Stat,114,True,2024-07-14T09:40:00-04:00,Strokes,1,pre_game,,2024-07-13T22:23:58-04:00,,league,new_player,145290,projection_type,2,stat_type,82,True,,,,
