,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.discount_percentage,attributes.hr_20,attributes.today,relationships.duration.data.type,relationships.duration.data.id
0,projection,2115044,,2024-03-12T12:40:00-04:00,,KC,,,yujtfg,False,4299.5,standard,Single Stat,0,True,2024-09-05T20:00:00-04:00,Pass Yards,pre_game,,2024-05-29T11:03:14-04:00,,league,163,new_player,39078,projection_type,2,stat_type,16,,,,,
1,projection,2122378,,2024-03-12T12:40:00-04:00,,SF,,,sgds45g41,False,10.5,standard,Single Stat,0,True,2024-09-05T20:00:00-04:00,Rush TDs,pre_game,,2024-05-29T15:03:14-04:00,,league,163,new_player,142601,projection_type,2,stat_type,46,,,,,
2,projection,2115059,,2024-03-12T12:40:00-04:00,,MIA,,,iuuljksfmd,False,9.5,standard,Single Stat,0,True,2024-09-05T20:00:00-04:00,Rec TDs,pre_game,,2024-05-28T16:23:17-04:00,,league,163,new_player,39194,projection_type,2,stat_type,47,,,,,
3,projection,2116827,,2024-03-12T12:40:00-04:00,,BAL,,,SDF98465S3F,False,10.5,standard,Single Stat,0,True,2024-09-05T20:00:00-04:00,Rush TDs,pre_game,,2024-03-12T19:09:03-04:00,,league,163,new_player,39015,projection_type,2,stat_type,46,,,,,
4,projection,2735185,,2024-07-11T15:00:00-04:00,,Round 1,2024-07-15T20:00:00-04:00,0.5,HRDERBY2024,True,22.5,standard,Single Stat,0,True,2024-07-15T20:00:00-04:00,Home Runs,pre_game,,2024-07-11T15:00:53-04:00,,league,41,new_player,144924,projection_type,2,stat_type,70,97.0,,,,
5,projection,2122377,,2024-01-05T19:00:00-05:00,,SF,,,sd4f53sg4s,False,1149.5,standard,Single Stat,0,True,2024-09-05T20:00:00-04:00,Rush Yards,pre_game,,2024-05-28T17:49:54-04:00,,league,163,new_player,142601,projection_type,2,stat_type,15,,,,,
6,projection,2115070,,2024-03-12T12:40:00-04:00,,MIA,,,dfb531vc2,False,1375.5,standard,Single Stat,0,True,2024-09-05T20:00:00-04:00,Receiving Yards,pre_game,,2024-05-28T16:19:36-04:00,,league,163,new_player,39194,projection_type,2,stat_type,17,,,,,
7,projection,2115033,,2024-03-12T12:40:00-04:00,,KC,,,yujtfggrsld,False,33.5,standard,Single Stat,0,True,2024-09-05T20:00:00-04:00,Pass TDs,pre_game,,2024-06-17T12:35:28-04:00,,league,163,new_player,39078,projection_type,2,stat_type,44,,,,,
8,projection,2115071,,2024-03-12T12:40:00-04:00,,PHI,,,bnvhjkhj,False,10.5,standard,Single Stat,1,True,2024-09-05T20:00:00-04:00,Rush TDs,pre_game,,2024-05-28T14:17:12-04:00,,league,163,new_player,38670,projection_type,2,stat_type,46,,,,,
9,projection,2744156,,2024-07-14T15:00:00-04:00,,SPA/ENG 2H,,,d7fp34ngkd3ob3iymrtkaz9qs,False,3.0,standard,Single Stat,1,True,2024-07-14T16:00:00-04:00,Goalie Saves,pre_game,,2024-07-14T15:01:09-04:00,,league,243,new_player,202450,projection_type,2,stat_type,48,,True,True,duration,588
10,projection,2744163,,2024-07-14T15:00:00-04:00,,SPA/ENG 2H,,,d7fp34ngkd3ob3iymrtkaz9qs,False,2.0,standard,Single Stat,1,True,2024-07-14T16:00:00-04:00,Shots,pre_game,,2024-07-14T15:00:55-04:00,,league,243,new_player,202453,projection_type,2,stat_type,50,,True,True,duration,588
11,projection,2744149,,2024-07-14T15:00:00-04:00,,Spain 2H,,,d7fp34ngkd3ob3iymrtkaz9qs,False,1.5,standard,Single Stat,1,True,2024-07-14T16:00:00-04:00,Goalie Saves,pre_game,,2024-07-14T15:00:55-04:00,,league,243,new_player,201615,projection_type,2,stat_type,48,,True,True,duration,588
12,projection,2748981,,2023-12-05T19:50:00-05:00,,Thomas Petersen,,,,False,79.5,standard,Fantasy Score,1,True,2024-07-20T18:10:00-04:00,Fantasy Score,pre_game,,2024-07-14T13:15:49-04:00,,league,12,new_player,160678,projection_type,1,stat_type,14,,,,,
13,projection,2673173,,2024-06-01T20:00:00-04:00,,2024-2025 Season,,,NBASZN01,False,4.8,standard,Single Stat,1,True,2024-10-22T20:00:00-04:00,3PT Made Per Game AVG,pre_game,,2024-07-01T15:14:35-04:00,,league,173,new_player,53227,projection_type,2,stat_type,396,,,,,
14,projection,2673159,,2024-06-01T20:00:00-04:00,,2024-2025 Season,,,NBASZN01,False,12.7,standard,Single Stat,1,True,2024-10-22T20:00:00-04:00,Rebounds Per Game AVG,pre_game,,2024-07-02T12:28:14-04:00,,league,173,new_player,53255,projection_type,2,stat_type,394,,,,,
15,projection,2115090,,2024-03-12T12:40:00-04:00,,PIT,,,cxoifjns,False,13.75,standard,Single Stat,1,True,2024-09-05T20:00:00-04:00,Sacks,pre_game,,2024-07-08T16:30:16-04:00,,league,163,new_player,17557,projection_type,2,stat_type,77,,,,,
16,projection,2731603,,2024-07-01T14:22:00-04:00,,WAS,,,FrankieLuvuTackles2024,False,115.5,standard,Single Stat,1,True,2024-09-05T20:00:00-04:00,Tackles+Ast,pre_game,Frankie Luvu,2024-07-10T16:48:57-04:00,,league,163,new_player,202051,projection_type,2,stat_type,67,,,,,
17,projection,2116826,,2024-01-05T19:00:00-05:00,,BAL,,,65431564SF6S5,False,975.5,standard,Single Stat,1,True,2024-09-05T20:00:00-04:00,Rush Yards,pre_game,,2024-06-20T10:33:52-04:00,,league,163,new_player,39015,projection_type,2,stat_type,15,,,,,
18,projection,2749062,,2024-07-14T15:35:09-04:00,,GZ MAPS 1-2,,,GZION45488.125,False,4.5,standard,Single Stat,1,True,2024-07-15T03:00:00-04:00,MAPS 1-2 Kills,pre_game,,2024-07-14T15:40:53-04:00,,league,121,new_player,184568,projection_type,2,stat_type,330,,True,True,duration,723
19,projection,2673166,,2024-06-01T20:00:00-04:00,,2024-2025 Season,,,NBASZN01,False,10.9,standard,Single Stat,1,True,2024-10-22T20:00:00-04:00,Assists Per Game AVG,pre_game,,2024-06-26T14:21:52-04:00,,league,173,new_player,79563,projection_type,2,stat_type,395,,,,,
20,projection,2748969,,2023-12-05T19:50:00-05:00,,Thomas Petersen,,,,False,53.5,standard,Single Stat,1,True,2024-07-20T18:10:00-04:00,Significant Strikes,pre_game,,2024-07-14T13:26:20-04:00,,league,12,new_player,160678,projection_type,2,stat_type,51,,,,,
21,projection,2673147,,2024-06-01T20:00:00-04:00,,2024-2025 Season,,,NBASZN01,False,25.6,standard,Single Stat,1,True,2024-10-22T20:00:00-04:00,Points Per Game AVG,pre_game,,2024-07-14T13:14:23-04:00,,league,173,new_player,53241,projection_type,2,stat_type,393,,,,,
22,projection,2536628,,2024-03-12T12:40:00-04:00,,NYJ,,,yktdg,False,26.5,standard,Single Stat,1,True,2024-09-05T20:00:00-04:00,Pass TDs,pre_game,,2024-05-29T21:47:26-04:00,,league,163,new_player,140238,projection_type,2,stat_type,44,,,,,
23,projection,2115046,,2024-03-12T12:40:00-04:00,,HOU,,,egsdvfd,False,4150.5,standard,Single Stat,1,True,2024-09-05T20:00:00-04:00,Pass Yards,pre_game,,2024-05-29T11:03:14-04:00,,league,163,new_player,140378,projection_type,2,stat_type,16,,,,,
24,projection,2749007,,2024-07-14T15:00:00-04:00,,Spain 2H,,,d7fp34ngkd3ob3iymrtkaz9qs,False,0.5,standard,Single Stat,1,True,2024-07-14T16:00:00-04:00,Goals Allowed,pre_game,,2024-07-14T15:02:15-04:00,,league,243,new_player,201615,projection_type,2,stat_type,59,,True,True,duration,588
25,projection,2353315,,2024-03-12T12:40:00-04:00,,ARI,,,trtrjurtds,False,5.5,standard,Single Stat,1,True,2024-09-05T20:30:00-04:00,Rec TDs,pre_game,,2024-06-17T13:40:19-04:00,,league,163,new_player,195503,projection_type,2,stat_type,47,,,,,
26,projection,2115065,,2024-03-12T12:40:00-04:00,,MIN,,,cx45231fd,False,1299.5,standard,Single Stat,1,True,2024-09-05T20:00:00-04:00,Receiving Yards,pre_game,,2024-06-16T19:11:57-04:00,,league,163,new_player,38711,projection_type,2,stat_type,17,,,,,
27,projection,2744175,,2024-07-14T15:00:00-04:00,,England 2H,,,d7fp34ngkd3ob3iymrtkaz9qs,False,0.5,standard,Single Stat,1,True,2024-07-14T16:00:00-04:00,Shots,pre_game,,2024-07-14T15:00:55-04:00,,league,243,new_player,201006,projection_type,2,stat_type,50,,True,True,duration,588
28,projection,2115062,,2024-03-12T12:40:00-04:00,,DAL,,,9rw8e45ds,False,1325.5,standard,Single Stat,2,True,2024-09-05T20:00:00-04:00,Receiving Yards,pre_game,,2024-05-28T16:20:23-04:00,,league,163,new_player,38718,projection_type,2,stat_type,17,,,,,
29,projection,2536767,,2024-03-12T12:40:00-04:00,,BUF,,,,False,9.0,standard,Single Stat,2,True,2024-09-05T20:00:00-04:00,Rush TDs,pre_game,,2024-05-29T23:15:28-04:00,,league,163,new_player,39180,projection_type,2,stat_type,46,,,,,
30,projection,2673160,,2024-06-01T20:00:00-04:00,,2024-2025 Season,,,NBASZN01,False,9.7,standard,Single Stat,2,True,2024-10-22T20:00:00-04:00,Rebounds Per Game AVG,pre_game,,2024-06-26T14:13:51-04:00,,league,173,new_player,79555,projection_type,2,stat_type,394,,,,,
31,projection,2115080,,2024-01-05T19:00:00-05:00,,PHI,,,1vc23f45621,False,1049.5,standard,Single Stat,2,True,2024-09-05T20:00:00-04:00,Rush Yards,pre_game,,2024-05-29T15:02:10-04:00,,league,163,new_player,39234,projection_type,2,stat_type,15,,,,,
32,projection,2115031,,2024-03-12T12:40:00-04:00,,BUF,,,vb23153gf1f,False,27.5,standard,Single Stat,2,True,2024-09-05T20:00:00-04:00,Pass TDs,pre_game,,2024-05-29T14:44:40-04:00,,league,163,new_player,39180,projection_type,2,stat_type,44,,,,,
33,projection,2748982,,2023-12-05T19:50:00-05:00,,Luana Carolina,,,,False,71.5,standard,Fantasy Score,2,True,2024-07-20T18:10:00-04:00,Fantasy Score,pre_game,,2024-07-14T14:44:03-04:00,,league,12,new_player,13113,projection_type,1,stat_type,14,,,,,
34,projection,2673148,,2024-06-01T20:00:00-04:00,,2024-2025 Season,,,NBASZN01,False,27.2,standard,Single Stat,2,True,2024-10-22T20:00:00-04:00,Points Per Game AVG,pre_game,,2024-07-10T13:16:02-04:00,,league,173,new_player,79560,projection_type,2,stat_type,393,,,,,
35,projection,2115042,,2024-03-12T12:40:00-04:00,,BUF,,,98u2rwoiekjdsm,False,3699.5,standard,Single Stat,2,True,2024-09-05T20:00:00-04:00,Pass Yards,pre_game,,2024-05-29T11:03:14-04:00,,league,163,new_player,39180,projection_type,2,stat_type,16,,,,,
36,projection,2115054,,2024-03-12T12:40:00-04:00,,MIN,,,jtsrfjutruj,False,7.5,standard,Single Stat,2,True,2024-09-05T20:00:00-04:00,Rec TDs,pre_game,,2024-06-17T13:14:42-04:00,,league,163,new_player,38711,projection_type,2,stat_type,47,,,,,
37,projection,2744176,,2024-07-14T15:00:00-04:00,,Spain 2H,,,d7fp34ngkd3ob3iymrtkaz9qs,False,0.5,standard,Single Stat,2,True,2024-07-14T16:00:00-04:00,Shots,pre_game,,2024-07-14T15:00:55-04:00,,league,243,new_player,200986,projection_type,2,stat_type,50,,True,True,duration,588
38,projection,2673174,,2024-06-01T20:00:00-04:00,,2024-2025 Season,,,NBASZN01,False,2.2,standard,Single Stat,2,True,2024-10-22T20:00:00-04:00,3PT Made Per Game AVG,pre_game,,2024-06-26T14:08:08-04:00,,league,173,new_player,53241,projection_type,2,stat_type,396,,,,,
39,projection,2748970,,2023-12-05T19:50:00-05:00,,Luana Carolina,,,,False,52.5,standard,Single Stat,2,True,2024-07-20T18:10:00-04:00,Significant Strikes,pre_game,,2024-07-14T13:05:52-04:00,,league,12,new_player,13113,projection_type,2,stat_type,51,,,,,
40,projection,2744150,,2024-07-14T15:00:00-04:00,,England 2H,,,d7fp34ngkd3ob3iymrtkaz9qs,False,1.5,standard,Single Stat,2,True,2024-07-14T16:00:00-04:00,Goalie Saves,pre_game,,2024-07-14T15:00:55-04:00,,league,243,new_player,201320,projection_type,2,stat_type,48,,True,True,duration,588
41,projection,2673167,,2024-06-01T20:00:00-04:00,,2024-2025 Season,,,NBASZN01,False,7.7,standard,Single Stat,2,True,2024-10-22T20:00:00-04:00,Assists Per Game AVG,pre_game,,2024-06-26T14:09:16-04:00,,league,173,new_player,53241,projection_type,2,stat_type,395,,,,,
42,projection,2749063,,2024-07-14T15:35:09-04:00,,GZ MAPS 1-2,,,GZION45488.125,False,5.5,standard,Single Stat,2,True,2024-07-15T03:00:00-04:00,MAPS 1-2 Kills,pre_game,,2024-07-14T15:44:08-04:00,,league,121,new_player,95324,projection_type,2,stat_type,330,,True,True,duration,723
43,projection,2115073,,2024-03-12T12:40:00-04:00,,PHI,,,.21khbjbn,False,7.0,standard,Single Stat,2,True,2024-09-05T20:00:00-04:00,Rush TDs,pre_game,,2024-05-29T20:50:28-04:00,,league,163,new_player,39234,projection_type,2,stat_type,46,,,,,
44,projection,2731642,,2024-07-01T14:28:00-04:00,,MIN,,,CamrynBynumTackles2024,False,120.5,standard,Single Stat,2,True,2024-09-05T20:00:00-04:00,Tackles+Ast,pre_game,Camryn Bynum,2024-07-10T21:41:08-04:00,,league,163,new_player,202052,projection_type,2,stat_type,67,,,,,
