market_name,price,meta_sportsbooks_id,main,link,sgp,grade,players,updated,meta_id,meta_sport,meta_league,meta_teams_away_id,meta_teams_away_name,meta_teams_away_abbreviation,meta_teams_home_id,meta_teams_home_name,meta_teams_home_abbreviation,meta_start,meta_live,meta_sportsbooks_name,sportsbook,bet
1st 5 Innings Moneyline: American League All-Stars,-112,pinnacle,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_moneyline:american_league_all-stars:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Moneyline: American League All-Stars,-112,ps3838,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_moneyline:american_league_all-stars:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Moneyline: American League All-Stars,-120,fanduel_ontario,True,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_moneyline:american_league_all-stars:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Moneyline: National League All-Stars,-101,pinnacle,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_moneyline:national_league_all-stars:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Moneyline: National League All-Stars,-104,fanduel_ontario,True,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_moneyline:national_league_all-stars:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Moneyline: National League All-Stars,-101,ps3838,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_moneyline:national_league_all-stars:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: American League All-Stars +0.5,-157,pinnacle,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_run_line:american_league_all-stars_+0.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: American League All-Stars +0.5,-157,ps3838,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_run_line:american_league_all-stars_+0.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: American League All-Stars +1,-244,pinnacle,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_run_line:american_league_all-stars_+1:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: American League All-Stars +1,-244,ps3838,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_run_line:american_league_all-stars_+1:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
